times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
4181.0,0.7566251462150937,0.9498069498069499,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,1.0,0.5695216907675196,0.45378151260504196,0.6413388773388773
4212.0,0.7493499044245642,0.9234234234234234,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.6107989307989307
4227.0,0.7493499044245642,0.9234234234234234,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.6107989307989307
4279.0,0.7493499044245642,0.9234234234234234,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.6107989307989307
4297.0,0.7493499044245642,0.9234234234234234,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.6107989307989307
4327.0,0.7493499044245642,0.9234234234234234,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.6107989307989307
4352.0,0.7493499044245642,0.9234234234234234,0.9615384615384612,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.6107989307989307
4353.0,0.7417034768283948,0.8945664414414415,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.5833333333333331,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.6107989307989307
4415.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4472.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
