times,population,R0,R1,R2,R3,R4
734.0,0.742971977247051,0.5457386864652651,0.5948142367230189,0.82493414851814,0.844472248921978,0.6837994594217588
737.0,0.742971977247051,0.5457386864652651,0.5948142367230189,0.82493414851814,0.844472248921978,0.6837994594217588
740.0,0.742971977247051,0.5457386864652651,0.5948142367230189,0.82493414851814,0.844472248921978,0.6837994594217588
741.0,0.742971977247051,0.5457386864652651,0.5948142367230189,0.82493414851814,0.844472248921978,0.6837994594217588
742.0,0.741317251239819,0.5457386864652651,0.5904082053398853,0.82493414851814,0.844472248921978,0.6768219139174548
745.0,0.7396625252325876,0.5378294301396815,0.5860021739567518,0.82493414851814,0.844472248921978,0.6768219139174548
747.0,0.7380077992253558,0.5299201738140976,0.5815961425736182,0.82493414851814,0.844472248921978,0.6768219139174548
748.0,0.7363493547327145,0.5299201738140976,0.5815961425736182,0.8166848070329581,0.8414670096019711,0.6768219139174548
751.0,0.7363493547327145,0.5299201738140976,0.5815961425736182,0.8166848070329581,0.8414670096019711,0.6768219139174548
753.0,0.7363493547327145,0.5299201738140976,0.5815961425736182,0.8166848070329581,0.8414670096019711,0.6768219139174548
754.0,0.7346834059663511,0.5218910802714598,0.5815961425736182,0.8166848070329581,0.8414670096019711,0.6768219139174548
755.0,0.7330174571999872,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8384509988148673,0.6768219139174548
758.0,0.7330174571999872,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8384509988148673,0.6768219139174548
761.0,0.7330174571999872,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8384509988148673,0.6768219139174548
762.0,0.7313400717144038,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8354131328771329,0.6768219139174548
766.0,0.7313400717144038,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8354131328771329,0.6768219139174548
768.0,0.7313400717144038,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8354131328771329,0.6768219139174548
769.0,0.7296549563417897,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8354131328771329,0.6697716856474815
770.0,0.7296549563417897,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8354131328771329,0.6697716856474815
772.0,0.7279659402391461,0.5218910802714598,0.5815961425736182,0.8084354655477771,0.8323530115112829,0.6697716856474815
776.0,0.7262729961920784,0.5137365321422184,0.5815961425736182,0.8001861240625954,0.8323530115112829,0.6697716856474815
779.0,0.7262729961920784,0.5137365321422184,0.5815961425736182,0.8001861240625954,0.8323530115112829,0.6697716856474815
784.0,0.7245760966682655,0.5137365321422184,0.5815961425736182,0.8001861240625954,0.8292928901454324,0.6697716856474815
790.0,0.7228791971444524,0.5055819840129769,0.577052422709762,0.8001861240625954,0.8292928901454324,0.6697716856474815
792.0,0.7228791971444524,0.5055819840129769,0.577052422709762,0.8001861240625954,0.8292928901454324,0.6697716856474815
795.0,0.721178304915877,0.5055819840129769,0.577052422709762,0.8001861240625954,0.8292928901454324,0.6625698395652503
797.0,0.7177765204587268,0.4974274358837354,0.5678928604445278,0.8001861240625954,0.8292928901454324,0.655367993483019
798.0,0.7177765204587268,0.4974274358837354,0.5678928604445278,0.8001861240625954,0.8292928901454324,0.655367993483019
799.0,0.7160715881060933,0.4974274358837354,0.5678928604445278,0.8001861240625954,0.8292928901454324,0.6480861268887632
801.0,0.7143666557534596,0.4974274358837354,0.5678928604445278,0.8001861240625954,0.8262214349967454,0.6480861268887632
805.0,0.7126617234008263,0.4974274358837354,0.5678928604445278,0.8001861240625954,0.8262214349967454,0.6408042602945078
806.0,0.7126617234008263,0.4974274358837354,0.5678928604445278,0.8001861240625954,0.8262214349967454,0.6408042602945078
819.0,0.7109527024813999,0.4892728877544936,0.5678928604445278,0.8001861240625954,0.8262214349967454,0.6408042602945078
